killed_by,count
Down and Out,942429
M416,671222
M16A4,664746
AKM,654356
SCAR-L,580931
UMP9,520160
S1897,385263
Punch,255675
S686,237985
S12K,219753
Micro UZI,207446
Mini 14,142748
SKS,132760
Tommy Gun,130857
P92,121128
Win94,118878
Grenade,114271
P1911,103383
Bluezone,81610
Kar98k,81182
death.WeapSawnoff_C,61108
Hit by Car,60379
Falling,58851
Vector,58030
R45,39214
Drown,35852
VSS,19395
Pickup Truck,15773
Crossbow,12960
Pan,12391
P18C,11706
RedZone,7564
death.ProjMolotov_DamageField_C,5412
Motorbike,4868
Motorbike (SideCar),4578
Machete,4511
Buggy,4437
Crowbar,3718
Sickle,3554
AUG,2309
Groza,2172
death.Buff_FireDOT_C,2016
M24,1847
M249,1682
Van,1424
Mk14,1167
AWM,1157
death.RedZoneBomb_C,192
death.ProjMolotov_C,160
Aquarail,160
death.PG117_A_01_C,109
death.None,1
